means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
6.52,6.4,6.28,6.16,6.03,5.89,5.74,5.56,5.33,4.99,4.7,4.36,6.63,6.75,6.87,7,7.14,7.29,7.48,7.7,8.04,8.33,8.67
6.91,6.81,6.71,6.6,6.5,6.38,6.25,6.09,5.9,5.62,5.37,5.08,7.01,7.11,7.21,7.32,7.44,7.57,7.72,7.91,8.2,8.44,8.73
7.3,7.21,7.13,7.04,6.95,6.85,6.74,6.61,6.45,6.21,6,5.76,7.38,7.46,7.55,7.64,7.74,7.85,7.98,8.14,8.38,8.59,8.83
7.69,7.62,7.55,7.47,7.39,7.31,7.22,7.11,6.97,6.76,6.59,6.38,7.76,7.83,7.9,7.98,8.07,8.16,8.27,8.41,8.61,8.79,8.99
8.08,8.02,7.95,7.88,7.81,7.74,7.65,7.56,7.43,7.25,7.09,6.9,8.14,8.21,8.27,8.34,8.42,8.5,8.6,8.73,8.91,9.07,9.25
8.47,8.41,8.34,8.27,8.2,8.13,8.04,7.95,7.82,7.64,7.48,7.29,8.53,8.6,8.66,8.73,8.81,8.89,8.99,9.12,9.3,9.46,9.64
8.86,8.79,8.72,8.64,8.57,8.48,8.39,8.28,8.14,7.94,7.76,7.55,8.93,9,9.08,9.15,9.24,9.33,9.44,9.58,9.78,9.96,10.17
9.25,9.17,9.08,9,8.9,8.81,8.7,8.57,8.41,8.17,7.96,7.72,9.33,9.42,9.5,9.6,9.7,9.81,9.93,10.1,10.34,10.54,10.79
9.64,9.54,9.44,9.34,9.23,9.11,8.98,8.83,8.64,8.35,8.1,7.82,9.74,9.84,9.94,10.05,10.17,10.3,10.45,10.65,10.93,11.18,11.47
10.03,9.92,9.8,9.68,9.55,9.41,9.25,9.07,8.85,8.51,8.22,7.88,10.15,10.27,10.39,10.52,10.66,10.81,10.99,11.22,11.55,11.84,12.18
10.42,10.29,10.15,10.01,9.86,9.7,9.52,9.31,9.04,8.65,8.32,7.92,10.56,10.69,10.84,10.99,11.15,11.33,11.54,11.8,12.19,12.53,12.92
10.81,10.66,10.5,10.34,10.17,9.98,9.78,9.54,9.24,8.79,8.4,7.95,10.97,11.13,11.29,11.46,11.64,11.85,12.09,12.39,12.84,13.23,13.68
