prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
8.24,8.07,7.92,7.65,7.42,7.25,7.03,6.68,6.34,5.8,5.49,4.8,8.46,8.66,8.95,8.94,9.21,9.47,9.79,10.11,10.64,10.99,11.73
8.29,8.25,7.98,7.74,7.57,7.33,7.03,6.86,6.39,5.83,5.61,4.9,8.63,8.68,8.84,9.03,9.31,9.53,9.84,10.19,10.8,11.2,11.62
8.34,8.09,7.99,7.84,7.56,7.4,7.07,6.77,6.43,5.84,5.49,4.82,8.5,8.71,8.94,9.14,9.4,9.58,9.87,10.11,10.62,11.28,11.75
8.39,8.19,7.99,7.79,7.62,7.51,7.19,6.92,6.51,6.01,5.43,4.79,8.53,8.72,8.92,9.02,9.46,9.58,9.94,10.25,10.77,11.15,12.24
8.44,8.17,8.09,7.92,7.78,7.47,7.01,6.92,6.45,6.01,5.67,4.69,8.49,8.78,9.09,9.19,9.43,9.53,9.98,10.33,10.75,11.28,11.87
8.49,8.33,8.07,7.99,7.63,7.48,7.36,6.89,6.67,5.89,5.46,5.14,8.69,8.79,9.17,9.17,9.46,9.89,9.88,10.45,10.93,11.09,11.86
8.54,8.4,8.14,7.93,7.7,7.49,7.27,6.85,6.69,6.26,5.63,5.15,8.68,8.86,9.1,9.22,9.5,9.63,10.06,10.35,10.97,11.61,11.65
8.59,8.39,8.31,7.97,7.83,7.58,7.4,7.07,6.74,6.17,5.76,5.39,8.75,9.03,9.03,9.37,9.61,9.79,10.01,10.45,11.01,11.65,11.93
8.64,8.47,8.32,8.05,7.81,7.63,7.37,7,6.69,6.33,5.9,5.21,8.87,8.97,9.28,9.41,9.57,9.85,10.05,10.43,10.95,11.65,12.05
8.69,8.51,8.4,8.14,7.8,7.66,7.54,7.28,6.83,6.14,6.04,5.25,8.86,9.08,9.32,9.43,9.63,9.92,10.13,10.46,11.01,11.49,12.08
8.74,8.56,8.38,8.04,7.98,7.75,7.53,7.29,6.79,6.48,5.89,5.42,8.88,9.12,9.16,9.49,9.68,10.03,10.24,10.57,10.99,11.52,12.32
8.79,8.62,8.52,8.34,7.92,7.83,7.6,7.17,7.09,6.38,5.87,5.25,8.95,9.19,9.45,9.54,9.68,10.03,10.27,10.49,11.26,11.64,12.03
